Questions-Hin,Questions-En,Answer-Hin,Answer-En
भारतीय नागरिकता प्राप्त करने में कतना समय लगेगा?,How much time will it take to acquire Indian citizenship?,"जिला कलेक्टर के कार्यालय मैं आवेदन जमा करने के बाद, इस पर नागरिकता
नियम, 2009 के नियम 12 और उसमें उल्लि खत समय-सीमा के अनुसार कार्रवाई की
जाती है। केन्द्र सरकार/सक्षम प्रा धकारी प्रस्तुत कए गए दस्तावेजों की उपयुक्तता तथा
सुरक्षा रिपोर्ट की उपलब्धता के आधार पर मामलों का निपटान करती / करता है।","After the submission of application in the office of the District Collector,
the same is processed as per Rule 12 of the Citizenship Rules, 2009 and as per the
time framed indicated there. The Central Government/the competent authority
disposes of the cases depending upon adequacy of submitted documents and
availability of the security report."
"मैं गृह मंत्रालय की वेबसाइट indiancitizenshiponline.nic.in पर फॉर्म भरने
मैं असमर्थ हूँ। मुझे सहायता के लए कससे संपर्क करना होगा?",I am unable to fill the Form in MHA website indiancitizenshiponline.nic.in. Whom should I contact for help?,"कृपया गृह . मंत्रालय. के. हेल्‍्पडेस्क पर. दिए. गए. ई-मेल:
support.ctznoci@mha.gov.in से संपर्क करें।",Please contact MHA helpdesk at email: support.ctznoci@mha.gov.in
नागरिकता आवेदन से संबं धत निर्धारित शुल्क का भुगतान कैसे करें?,How to pay the fee prescribed regarding citizenship application?,"ऑनलाइन फॉर्म भरने के पश्चात आवेदक को अंत मैं आवेदन सब्मिट करना
होगा। इसके बाद आवेदक को संगत दस्तावेज अपलोड करने होंगे। तत्पश्चात
एसबीआई-ई पे भुगतान गेटवे के जरिए निर्धारित शुल्क अदा करने का प्रावधान खुलेगा।
शुल्क रा श का भुगतान करने के लए नेट बैं कग, डेबिट और क्रे डट कार्ड सु वधाओं का
उपयोग कया जा सकता है। आवेदक एसबीआई-ई पे भुगतान गेटवे द्वारा उपलब्ध
करवाए गए तीन माध्यमों मैं से कसी भी एक का प्रयोग करके शुल्क का भुगतान कर
सकता है।","After filling the online Form, the applicant is supposed to finally submit the
application. Then, the applicant needs to upload relevant documents. Thereafter,
the provision to pay the prescribed fee through SBI – e pay payment gateway will
be enabled. Net banking, Debit and Credit Card facilities can be used to pay the fee
amount. The applicant can pay fee by using any one of the three modes offered by
SBI – e pay Payment gateway"
मैं नेपाली मूल का ज् और मेरे पास पासपोर्ट और वीजा नहीं है। क्या मैं भारतीयनागरिकता प्राप्त करने के लए ऑनलाइन आवेदन कर सकता हूँ?,I am a Nepal origin person I do not have passport and visa. Can I apply online for acquiring Indian citizenship?,"पासपोर्ट नहीं होने पर, आपको नेपाल्ली नागरिकता प्रमाण-पत्र अथवा नेपाल के
चुनाव आयोग दूवारा जारी मतदाता पहचान-पत्र अथवा भारत में नेपाली मशन द्वारा
जारी सी मत वैधता वाला फोटो पहचान प्रमाण-पत्र अथवा, वैध यात्रा दस्तावेजों सहित
माता- पता के साथ आने वाले 10 से 18 वर्ष के आयु समूह के बच्चों के संबंध में
वद्यालय के प्रधानाचार्य दूवारा जारी कया गया फोटो पहचान-पत्र ऑनलाइन अपलोड
करना होगा तथा फॉर्म भरना होगा।","In absence of passport, you have to upload online, either a Nepali
citizenship certificate or voter ID card issued by Election Commission of Nepal or
limited validity photo identity certificate issued by Nepalese Mission in India or,
photo ID issued by principal of the School for children in the age group between
10-18 if accompanied by parents having valid travel documents, and fill the form."
मैं भूटान मूल का ज् और मेरे पास पासपोर्ट और वीजा नहीं है। क्या मैं भारतीयनागरिकता प्राप्त करने के लए ऑनलाइन आवेदन कर सकता हूँ,I am a Bhutan origin person I do not have passport and visa. Can I apply online for acquiring Indian citizenship?,"पासपोर्ट नहीं होने पर, आपको नेपाल्ली नागरिकता प्रमाण-पत्र अथवा नेपाल के
चुनाव आयोग दूवारा जारी मतदाता पहचान-पत्र अथवा भारत में नेपाली मशन द्वारा
जारी सी मत वैधता वाला फोटो पहचान प्रमाण-पत्र अथवा, वैध यात्रा दस्तावेजों सहित
माता- पता के साथ आने वाले 10 से 18 वर्ष के आयु समूह के बच्चों के संबंध में
वद्यालय के प्रधानाचार्य दूवारा जारी कया गया फोटो पहचान-पत्र ऑनलाइन अपलोड
करना होगा तथा फॉर्म भरना होगा।","In absence of passport, you have to upload online, either a Bhutanese
citizenship certificate or voter ID card issued by Election Commission of Bhutan
or limited validity photo identity certificate issued by Royal Bhutanese Mission in
India, or photo ID issued by principal of the School for children in the age group
between 10-18 if accompanied by parents having valid travel documents and fill
the form."
"भारतीय नागरिकता के लए आवेदन की तारीख से पहले, मैं 2 महीने मैं से 25दिन भारत से बाहर रहा हूँ। क्या मैं भारतीय नागरिकता प्राप्त करने का पात्र हूँ?",I have stayed outside India for 25 days in the 12 months before the date of application for Indian citizenship. Am I eligible to acquire Indian citizenship?,"केंद्रीय सरकार यदि यह मान लेती है क वशेष परिस्थितियां रही हैं तो वह
नागरिकता अ धनियम, 955 की धारा 5()(क), 5()(ग), 5()(च), 5()(छ) और
6() के अंतर्गत आवेदनों हेतु आवेदन की तारीख से पहले 2 माह की आवास अव ध
की आवश्यकता के लए अ धकतम 30 दिनों की छूट प्रदान कर सकती है। आवेदक को
उन वशेष परिस्थितियों का. ववरण प्रदान करना होगा जिनके कारण वह अपने आवेदन की तारीख से पहले 2 माह की आवास अब ध की आवश्यकता को पूरा नहीं कर सका।","The Central Government, if it is satisfied that special circumstances exist,
may relax the requirement of residency period of twelve months before the date of
application up to a maximum of thirty days for applications under Section 5(1)(a),
5(1)(c), 5(1)(f), 5(1)(g) and 6(1) of the Citizenship Act, 1955. An applicant may
submit the details of special circumstances due to which he/she was unable to
comply with the requirement of twelve months residency period before the date of
his/her application.
"
मेरे पास मेरे जन्म की तारीख दर्शाने वाला उच्च. वद्यालय/मैट्रिकुलेशन/एचएससी प्रमाण-पत्र है और आधार कार्ड भी है। कया मैं *'जन्म प्रमाण-पत्र' के स्थानपर भारत में जन्म के प्रमाण के रूप मैं इन दस्तावेजों को प्रस्तुत कर सकता हूँ?,I have my High School/ Matriculation/HSC certificate showing my date of birth and also have Aadhar Card. Can I submit these documents as proof of birth in India in place of ‘birth certificate’?,"कानूनी फॉर्म अर्थात फॉर्म । से फॉर्म VIII में निर्दिष्ट दस्तावेज प्रस्तुत करने
जरूरी हैं। उपर्यक्त वैकल्पिक दस्तावेज स्वीकार्य नहीं हैं।","It is mandatory to submit the documents specified in the statutory forms i.e.
Form I to Form VIII. Alternate documents mentioned above are not acceptable."
मेरा जन्म 1990 में भारत मैं हुआ था और मेरे जन्म के समय मेरी माता औरपता दोनों वदेशी थे। क्या मैं जन्म से भारत का नागरिक हूँ?,I was born in India in 1990 and both my parents were foreigners at the time of birth. Am I a citizen of India by birth?,"जी नहीं। अ धक ववरण के लए आप नागरिकता अ धनियम, 1955 की धारा
3 के उपबंधों को देखें।","No. For details you may refer to the provisions of Section 3 the Citizenship
Act, 1955.
"
मैं वदेशी हूँ तथा 20 से अ धक वर्षों से भारत मैं रह रहा हूँ। इतनी लम्बीअव ध के लए लगातार भारत मैं रहने के कारण क्या मैं भारत का नागरिक नहीं हूँ?,I am a foreigner and staying in India for more than 20 years. Am I not a citizen of India due to my continuous stay in India for such a long time?,"जी नहीं। केवल लम्बी अव ध तक भारत में रहने के कारण कोई भारत का
नागरिक नहीं हो जाता है। भारत की नागरिकता, नागरिकता अ धनियम, 1955 के
निम्न ल खत उपबंधों में से कसी एक के अंतर्गत प्राप्त की जा सकती है:-
क) जन्म दूवारा नागरिकता - धारा 3
ख)  वंशानुक्रम दूवारा नागरिकता - धारा 4
ग)  पंजीकरण दूवारा नागरिकता - धारा 5
घ)  देशीकरण दूवारा नागरिकता - धारा 6
ड.) भू-भाग के समावेशन दूवारा नागरिकता - धारा 7","No. By mere long stay in India, one does not become citizen of India. The
Citizenship of India can be acquired under any one of the following provisions of
the Citizenship Act, 1955:-
a) Citizenship by Birth - Section 3
b) Citizenship by Descent - Section 4
c) Citizenship by Registration - Section 5.
d) Citizenship by Naturalization - Section 6
e) Citizenship by incorporation of
 territory -Section 7"
"मेरे पास वैध वदेशी पासपोर्ट और वैध वीजा,भारपी/एलटीवी नहीं हैं। क्या मैं भारतीय नागरिकता के लए आवेदन कर सकता हूँ?",I do not have valid foreign passport and valid Visa/RP/ LTV. Can I apply for Indian citizenship?,"जी नहीं। नागरिकता अ धनियम,1955 की धारा 5 और 6 के उपबंधों के
अनुसार कोई गैर-कानूनी प्रवासी भारतीय नागरिकता प्राप्त करने का पात्र नहीं है। “गैर-
कानूनी प्रवासी” शब्दों की परिभाषा नागरिकता अ धनियम,1955 की धारा 1(7)(ख) में
दी गई है।","No. As per provisions of Section 5 and 6 of the Citizenship Act, 1955, an
illegal migrant is not eligible to acquire citizenship of India. The term “illegal
migrant” has been defined in Section 2(1)(b) of the Citizenship Act, 1955.
"
मुझे अतिरिक्त/भरधूरे दस्तावेज प्रस्तुत करने के लए एक पत्र प्राप्त हुआ है।मुझे ये दस्तावेज कैसे और कहां जमा करवाने होंगे?,I have received a letter/communication to submit additional/deficient documents. How and where should I submit these?,"कृपया इन. दस्तावेजों  को गृह. मंत्रालय की वेबसाइट
indiancitizenshiponline.nic.inकी अपनी फाइल संख्या के सामने अपलोड करें और
उसके बाद इन दस्तावेजों की एक प्रति अपने क्षेत्र, जहां आप साधारणतया रह रहे हैं,
के जिला कलेक्टर के कार्यालय में जमा कराएं।","Please upload these documents on the MHA website
indiancitizenshiponline.nic.in against your file number and then submit hard copy
of documents in the office of the District Collector of your area where you
ordinarily reside."
"मुझे यह सूचना प्राप्त हुई है क केंद्रीय सरकार ने मुझे नागरिकता प्रदान करनेका निर्णय लया है और मुझसे कहा गया है क मैं अदा कए गए शुल्क की मूलरसीद, फोटोग्राफ, हस्ताक्षर, पूर्ण रूप से भरे गए फार्म Xअथवा XIअथवा XIIऔरमूल त्याग प्रमाण-पत्र प्रस्तुत करूं। मैं इन दस्तावेजों को कहां जमा करूं?","I have received intimation that the Central Government has decided to grant me citizenship and I have been asked to submit original receipt of fee paid, photographs, signatures, duly filled Form X or XI or XII and the original copy of renunciation certificate. Where should I submit these documents?","आपको चाहिए क आप इन दस्तावेजों की स्कैन की हुई प्रतियां गृह मंत्रालय की
वेबसाइट indiancitizenshiponline.nic.in  पर अपलोड करें। तथा प, आपको इन
दस्तावेजों को मूल प्रतियों को संबं धत जिला कलेक्टर के कार्यालय में जमा करना
होगा।","You must upload scanned copies of these documents on the MHA website
indiancitizenshiponline.nic.in. However, you have to submit original of these
documents, in the office of the concerned District Collector. "
"मुझे सैद्धांतिक मंजूरी पत्र जारी कया गया है और कहा गया है क मैं अपनी
पा कस्तानी नागरिकता का त्याग कर दूं। ले कन पा कस्तान का दूतावास त्याग प्रमाण-
पत्र जारी नहीं कर रहा है। इस स्थिति में मुझे क्या करना चाहिए?",I have been issued in-principle acceptance letter and asked to renounce my Pakistani Nationality. But Pakistan Embassy is not issuing Renunciation Certificate. What should I do?,"पाकस्तान और अफगानिस्तान के हिंदू/सख समुदायों से संबंध रखने वाले उन
आवेदकों जिन्होंने 31/12/2009 को अथवा उससे पहले भारत में प्रवेश कया है, को
त्याग प्रमाण-पत्र के स्थान पर शपथ-पत्र प्रस्तुत करने की अनुमति दी गई है और वे
गृह मंत्रालय का दिनांक 17/11/2014 का परिपत्र देखें। अन्य आवेदकों को अनिवार्य रूप
से अपने देश के दूतावास से प्राप्त त्याग प्रमाण-पत्र प्रस्तुत करना होगा।","Applicants belonging to Hindu/Sikh communities of Pakistan and
Afghanistan, who have entered India on or before 31/12/2009 are permitted to
submit affidavit in lieu of renunciation certificate and may refer to MHA circular
dated 17/11/2014. Other applicants have to mandatorily submit renunciation
certificate from the Embassy of their country."
"मेरे बच्चे का जन्म भारत से बाहर हुआ है। नागरिकता अ धनियम, 1955 की धारा 4 के अधीन भारतीय मशन मैं उसका जन्म पंजीकरण कैसे करना है?","My child is born outside India. How to register his birth with Indian Mission under Section 4 of the Citizenship Act, 1955?","आप गृह मंत्रालय की वेबसाइट indiancitizenshiponline.nic.in देखें और
जन्म पंजीकरण हेतु अपे क्षत फार्म भरें। अन्य कोई कठिनाई होने पर कृपया संबं धत
भारतीय मशन से संपर्क करें।","You may visit MHA website indiancitizenshiponline.nic.in and fill the
required form for registration of birth. In case of further difficulty please contact
the concern Indian Mission"
मेरे बच्चे का जन्म पांच वर्ष पूर्व भारत के बाहर हुआ था। क्या मैं उसके जन्मका पंजीकरण भारतीय मशन में कर सकता हूँ?,My child was born outside India 5 years ago. Can I register his birth in Indian Mission?,"वशेष परिस्थितियों में, भारतीय मशन प्रमुख कसी भी अवयस्क के जन्म का
पंजीकरण जन्म ति थ के एक वर्ष बाद भी कर सकता है।","Under special circumstances, birth of a minor can be registered by Head of
Indian Mission even after one year of date of birth."
मेरे पुत्र की आयु 19 वर्ष है और उसका जन्म वदेश में हुआ था। क्या वह अबअपने जन्म का पंजीकरण भारतीय मशन में कर सकता है? वह भारतीय नागरिकताकैसे प्राप्त कर सकता है?,My son aged 19 years was born abroad. Can he register his birth now in Indian Mission? How can he acquire Indian citizenship?,"नागरिकता अ धनियम, 1955 की धारा की धारा 4 के अनुसार जन्म का
पंजीकरण केवल अवयस्क बच्चों पर ही लागू है। यदि कोई व्यक्ति वयस्क हो गया है
तो वह नागरिकता अ धनियम, 1955 की धारा 5 अथवा 6 के संगत उपबंधों के
अंतर्गत भारतीय नागरिकता के लए आवेदन कर सकता है।","Registration of birth under Section 4 of the Citizenship Act, 1955 is
applicable only for minors. If a person has attained full age, he can apply for Indian
citizenship under relevant provisions of Section 5 or 6 of the Citizenship Act,
1955."
"पहले मैं भारतीय नागरिक था और मेरा अवयस्क बच्चा भी भारतीय नागरिकता
था। बाद मैं मेरा अवयस्क बच्चा भारतीय नागरिक नहीं रहा, क्यों क मैंने भारतीय
नागरिकता का त्याग कर दिया था। मेरा यह बच्चा भारतीय नागरिकता पुन: कैसे प्राप्त
कर सकता है?","I was earlier Indian citizen and my minor child was also Indian citizen. Later on, my minor child has ceased to be an Indian citizen because I renounced Indian citizenship. How can my child resume Indian citizenship?","व्यस्क होने जाने पर आपका बच्चा नागरिकता अ धनियम, 1955 की धारा 8
तथा नागरिकता नियमावली, 2009 के नियम 24 के उपबंधों के अंतर्गत भारतीय
नागरिकता पुन: प्राप्त करने के लए आवेदन कर सकता है।","On attaining full age, your child can apply for resumption of Indian
citizenship under provisions of Section 8 of the Citizenship Act, 1955 and Rule 24
of the Citizenship Rules, 2009."
क्या कोई भी पेंशनभोगी एसबीआई से अपना पेंशन पा सकते है?,Can any pensioner draw his/her pension from SBI?,"हाँ, कोई भी पेंशनभोगी एसबीआई से अपना पेंशन पा सकते है यदि वह केंद्र सरकार/ राज्य सरकार का या स्वायत्त निकाय के पेंशनभोगी हो जिसकी हमारे बैंक के साथ पेंशन के भुगतान की व्यवस्था है।","Yes, a pensioner can draw his/her pension from a SBI Branch if he/she is a Central/State Govt. Pensioner or Autonomous Body, which has arrangement for pension payment with our Bank."
क्या पेंशनभोगी किसी बैंक की शाखा से अपना पेंशन पा सकता है?,Can the pensioner draw his/ her pension through a Bank Branch ?,"हाँ। ऐसे सरकारी कर्मचारी भी जो पूर्व में किसी ट्रेजरी या डाक-घर से पेंशन प्राप्त कर रहे थे,अपना पेंशन अधिकृत बैंक की शाखाओं से प्राप्त कर सकते हैं।",Yes. Even the Government employees earlier drawing their pension from a Treasury or from a Post Office will have the option to draw their pension from the authorized Bank’s Branches.
पेंशनभोगी अपना खाता कहाँ खोलेंगे?,Where will the Pensioner open his/her pension account?,पेंशनभोगी अपना बचत/ चालू खाता अब तक के समान ही अपनी पसंद / सुविधानुसार (होम ब्रांच ) शाखा (होम ब्रांच) में खोलेंगे।,The pensioner will open his/her SB/CA account at the Branch of his/ her choice/ convenience (Home Branch) as hitherto.
सेवानिवृत्त होने वाले व्यक्ति को एसबीआई से अपना पेंशन पाने के लिए क्या करना है?,What should a retiring person do to draw his/her pension from a SBI Branch ?,सेवानिवृत्त होने वाले व्यक्ति को किसी एसबीआई की शाखा में खाता खोलकर अपने पेंशन संस्वीकृतिकर्ता प्राधिकारी को अपना पेंशन खाते का नंबर तथा शाखा की सूचना देनी चाहिए जिससे कि उसके पेंशन का भुगतान किया जा सके।,The retiring person should open an account with a SBI Branch and advise this Account number and Branch to the concerned Pension Sanctioning Authority for release of his/her pension.
क्या पेंशनभोगी को अपना पेंशन जमा कराने के लिए किसी प्राधिकृत बैंक में अलग रूप से पेंशन खाता खोलने की आवश्यकता है?,Is it necessary for the pensioner to open a separate pension account for the purpose of crediting his/ her pension in authorized bank ?,"पेंशनभोगी को अलग रूप से पेंशनखाता खोलने की जरूरत नहीं है। पेंशनभोगी द्वारा चुने गए किसी भी बैंक की शाखा में जहां उसका/ उसकी बचत/ चालू खाता पहले से ही विद्यमान हो,, में पेंशन जमा किया जा सकता है।",The pensioner is not required to open a separate pension account. The pension can be credited to his or her existing savings/current account maintained with any Branch of the Bank selected by the pensioner.
किसी अन्य बैंक की शाखा से पहले से पेंशन पानेवाले सेवानिवृत्त व्यक्ति को एसबीआई की शाखा से पेंशन पाने के लिए क्या करना है?,"What should a retiring person, who already draws his/ her pension from a Branch of another Bank, do to draw pension from a SBI Branch ?",पेंशनभोगी को एसबीआई की किसी सुविधाजनक शाखा में अपना खाता खोलकर अपने वर्तमान बैंकर को पेंशन संबंधी दस्तावेजों को एसबीआई के संबंधित केंद्रीय पेंशन प्रक्रिया केंद्र (सीपीपीसी) को पेंशन के भुगतान के लिए अग्रेषित करने के लिए संबंधित सरकारी प्राधिकारियों से अनुरोध करना चाहिए।,The pensioner should open an account with a convenient SBI Branch and request his/ her existing banker to send the pension papers to the concerned Govt. authorities for onward submission to concerned CPPC of SBI for pension processing.
क्या पेंशनभोगी अपना खाता किसी शाखा से उसी बैंक के दूसरी शाखा में या किसी अन्य बैंक की शाखा में अंतरित कर सकता/ सकती है?,Can a pensioner transfer his/ her pension account from one Branch to another Branch of the same Bank or to the Branch of another Bank?,(ए) पेंशनभोगी अपना पेंशनखाता किसी शाखा से उसी बैंक की दूसरी शाखा में उसी केंद्र या अन्य किसी केंद्र को अंतरित कर सकता है।(बी) वह अपना खाता एक प्राधिकृत बैंक से किसी अन्य केंद्र में स्थित दूसरे प्राधिकृत बैंक में अंतरित कर सकता/ सकती है।,(a) Pensioner can transfer his/ her pension account from one Branch to another Branch of the same Bank within the same centre or at a different centre;(b) He/She can also transfer his/ her account from one authorized Bank to another authorized Bank at different centre.
क्या पेंशनभोगी अपने पति/ पत्नी के साथ संयुक्त खाता खोल सकता/ सकती है?,Can a pensioner open a Joint Account with his/ her spouse ?,हाँ। केंद्र सरकार के सभी पेंशनभोगी तथा ऐसी व्यवस्था को स्वीकारने वाले राज्य सरकारों के पेंशनभोगी अपने पति/ पत्नी के साथ संयुक्त खाता खोल सकते है।,Yes. All Central Government Pensioners and those State Governments which have accepted such arrangement can open Joint Account with their spouses.
पति/ पत्नी के साथ के संयुक्त खाते को क्या ''पूर्व का या उत्तरजीवी'' अथवा ''दोनों में से एक या उत्तरजीवी''रूप में संचालित किया जा सकता है?,"Whether Joint Account of the pensioner with spouse can be operated either by ''Former or Survivor"" or ""Either or Survivor"".",पति/ पत्नी के साथ के संयुक्त खाते को ''पूर्व का या उत्तरजीवी'' अथवा ''दोनों में से एक या उत्तरजीवी''रूप में संचालित किया जा सकता है।,"The Joint Account of the pensioner with spouse can be operated either by ‘‘Former or Survivor"" or “Either or Survivor""."
क्या दोनों में से एक या उत्तरजीवीपेंशन खाते को पेंशनभोगी की मृत्यु के बाद भी जारी रखा जा सकता है?,Whether either or survivor pension account can be continued after death of pensioner,"हाँ, दोनों में से एक या उत्तरजीवीपेंशन खाते को पेंशनभोगी की मृत्यु के बाद भी जारी रखा जा सकता है बशर्ते कि पति/ पत्नी उत्तरजीवी हो तथा पेंशनभोगी के साथ उनका संयुक्त खाता हो तथा पेंशन भुगतान आदेश (पीपीओ) में फैमिली पेंशन के भुगतान हेतु जिसके पक्ष में प्राधिकार दिया गया हो।","Yes, either or survivor pension account will be continued after death of pensioner when the spouse is the survivor and having a joint account with the pensioner and in whose favour an authorisation for payment of family pension exists in the Pension Payment Order (PPO)."
क्या बैंक पीपीओ नंबर को पेंशनभोगी/ फैमिली पेंशनभोगी के पासबुक में रिकार्ड कर सकता है,Can Bank record PPO number in the passbook of pensioners/family pensioners,"हाँ, पासबुक के पहले पृष्ठ पर पीपीओ नंबर के साथ अन्य विवरणों के मुद्रण कार्य सिस्टम द्वारा ही किया जाता है।","Yes, the functionality of printing PPO No. in the Passbook by the system itself along with other details on the 1st page is deployed."
पेंशनभोगी के विकलांग/ अक्षमहोने तथा भुगतान करने वाली शाखा में उपस्थित न हो पाने की स्थिति में बैंक की शाखा को कौन सी कार्यविधि अपनानी है?,What is the procedure to be followed by the Bank Branch if the pensioner is handicapped /incapacitated and is not in a position to be present at the paying branch ?,"पेंशनभोगी के की विकलांग/ अक्षम तथा भुगतान करने वाली शाखा में उपस्थित न हो पाने की स्थिति में व्यक्तिगत रूप से उपस्थित होने की छूट दी जाती है। ऐसे मामलों में बैंक का कोई अधिकारी पेंशनभोगी के घर/ अस्पताल में जाकर उनकी उनका पहचान करके, नमूना हस्ताक्षर या हाथ/ पैर के अंगूठे का निशान ले आता है।","If the pensioner is physically handicapped/incapacitated and unable to present at the branch, the requirement of personal appearance is waived. In such cases the Bank official visits the pensioner’s residence/hospital for the purpose of identification and obtaining specimen signature or thumb/toe impression."
"क्या कोई बुजुर्ग, बीमार दिवयांग पेंशनभोगी जो हस्ताक्षर करने में असमर्थ हो, द्वारा पेंशन खाता खोला अथवा अपने पेंशन खाते से पेंशन निकाला जा सकता है?","Can old, sick physically handicapped pensioner who is unable to sign, open pension account or withdraw his/ her pension from the pension account?","पेंशनभोगी जो बुजुर्ग, बीमार अथवा जो अपने दोनों हाथों को खो देने के कारण हस्ताक्षर नहीं कर सकता है, पेंशन खाता खोलने के फार्म पर किसी भी प्रकार का निशान या हाथ/ पैर के अंगूठे का निशान लगा सकता/ सकती है। पेंशन की राशि निकालते समय वे चेक/ आहरण फार्म पर हाथ/ पैर के अंगूठे का निशान लगा सकते है और बैंक को मान्य दो स्वतंत्र साक्षी द्वारा जिसमें से एक बैंक का अधिकारी हो,द्वारा उसकी पहचान की जाएगी ।","A pensioner, who is old, sick or lost both his / her hands and, therefore, cannot sign, can put any mark or thumb/ toe impression on the form for opening of pension account. While withdrawing the pension amount he/ she can put thumb/toe impression on the cheque/withdrawal form and it should be identified by two independent witnesses known to the Bank one of whom should be a Bank official."
क्या पेंशनभोगी द्वारा हस्ताक्षर न कर पाने की स्थिति में अथवा हाथ/ पैर के अंगूठे का निशान न लगा पाने की स्थिति में या बैंक में स्वयं उपस्थित न हो पाने कीस्थिति में उसके द्वारा अपने खाते से पेंशन का आहरण किया जा सकता है?,Can a pensioner withdraw pension from his/ her account when he/ she is not able to sign or put thumb/toe impression or unable to be present in the bank?,क्या पेंशनभोगी द्वारा हस्ताक्षर न कर पाने की स्थिति में अथवा हाथ/ पैर के अंगूठे का निशान न लगा पाने की स्थिति में या बैंक में स्वयं उपस्थित न हो पाने कीस्थिति में उसके द्वारा अपने खाते से पेंशन का आहरण किया जा सकता है?,"In such cases, a pensioner can put any mark or impression on the cheque/ withdrawal form and may indicate to the bank as to who would withdraw pension amount from the Bank on the basis of cheque / withdrawal form. Such a person should be identified by two independent witnesses. The person who is actually drawing the money from the Bank should be asked to furnish his/ her specimen signature to the Bank."
क्या कोई पेंशनभोगी अपने घर बैठे डिजिटल जीवन प्रमाणपत्र/ कागजी जीवन प्रमाणपत्र दे सकेंगे?,Can a pensioner submit DLC/Physical Life Certificate from own residence ?,"हाँ, निम्नानुसारः. (ए) पेंशनभोगी अपने घर बैठे डिजिटल जीवन प्रमाणपत्र प्रस्तुत कर सकते है बशर्ते कि उनके पास इंटरनेट सुविधायुक्त पीसी/ लैपटाप एवं पंजीकृत बायो-मेट्रिक डिवाइसउपलब्ध हो। .(बी) गैर-वित्तीय लेन-देनों के लिए डोर-स्टेप बैंकिंग के तहत 70 वर्ष से अधिक के उम्र के पेंशनभोगियों तथा दिव्यांग अथवा दृष्टिबाधितों सहित दुर्बल व्यक्तियों (जिनके पास चिकित्सक द्वारा प्रमाणित दीर्घकालिक बीमारी या विकलांगता) के घर से जीवन प्रमाणपत्र ले आने की सुविधा बैंक द्वारा प्रदान की गई है।","Yes, as under. a) - Pensioner can submit DLC from his residence, if the pensioner is having a PC/Laptop with internet connection and Registered Biometric Device.b) - Under the Door Step Banking (DSB) for non-financial transactions, Bank has provided the facility for pick-up of Life Certificate from the residence of pensioners having age of more than 70 years and differently abled or infirm persons (having medically certified chronic illness or disability) including those who are visually impaired."
अपने पेंशन शुरू करने संबंधी औपचारिकताओं की पूर्ति के लिए पेंशनभोगी को किस कार्यालय/ शाखा में जाना होगा?,Which Office/Branch will the pensioner approach to complete formalities connected with commencement of his/her pension ?,पेंशनभोगी पेंशन संबंधी सभी औपचारिकताओं जैसे कि अधिक भुगतान इत्यादि की वसूली के निमित्त अनिवार्य वचनपत्रों की प्रस्तुति को अपनी ने होम शाखा में पूरा करेंगे तथा केंद्रीय सिविल पेंशन के मामले मेंयदि नियत चिकित्सा भत्ता (एफएमए) के अनुदान हेतु अनुरोध किया गया है तो हर साल निर्धारित प्रारूप पर वचनपत्र प्रस्तुत करेंगे।,"The pensioner will continue to complete all the pension related formalities such as submission of mandatory undertakings for recovery of overpayment etc. at his/her Home Branch and if requested for the grant of FMA an undertaking on prescribed proforma every year, in case of Central Civil Pension."
अदाकर्ता शाखा द्वारा पेंशनभोगी के खाते में पेंशन कब जमा किया जाता है?,When is the pension credited to the pensioner's account by the paying Branch ?,पेंशन अदाकर्ता शाखा अपनी सुविधानुसार पेंशन का संवितरण महीने के अंतिम चार कार्य दिवस के दौरान करती है। सिर्फ मार्च महीना इसका अपवाद है जब पेंशन अप्रैल के प्रथम कार्य दिवस या उसके बाद जमा कराया जाता है।,The disbursement of pension by paying branch is spread over the last four working days of the month depending on the convenience of the pension paying Branch except for the month of March when the pension is credited on or after the first working day of April
